Site,Lab ID,Field ID ,Field Date,Reach,Transect,Source of Production,Method,Life Stage,Order,Family,Genus,Common Name ,Functional Group ,Length ,a ,b ,Weight,ID Date,Processor,QA/QC,Notes
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,12.31.2025,BG,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,5,0.002,3.011,0.254465365,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,7,0.002,3.011,0.700842119,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,5,0.002,3.011,0.254465365,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,6,0.002,3.011,0.440598902,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Peltoperlidae,NA,Roach-like stonefly,Shredder,3,0.017,2.737,0.343818939,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,4,0.002,3.011,0.129966861,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Peltoperlidae,NA,Roach-like stonefly,Shredder,4,0.017,2.737,0.755591594,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Nymph,Diptera,NA,NA,Mosquito,Parasite,3,0.006,3.05,0.171147704,1.9.2026,NB,BG,Pupa
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Arachnida,Hydrachnidia,NA,Water mite,Predator,1,0.132655465,1.66,0.132655465,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,Neoleptophlebia,Small-minnow mayfly,Collector-Gatherer,4,0.0053,2.875,0.285232064,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Chironomidae,NA,Midge,Collector-Gatherer,6,0.005097526,2.32,0.32558947,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Chironomidae,NA,Midge,Collector-Gatherer,4,0.005097526,2.32,0.127097974,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Perlidae,NA,Golden stonefly ,Predator,6,0.0099,2.879,1.721601548,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Diptera,Chironomidae,NA,Midge,Collector-Gatherer,3,0.005097526,2.32,0.065204979,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,2,0.002,3.011,0.01612246,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Heptagenniidae,NA,Flat-headed mayfly,Scraper,4,0.0108,2.754,0.491469953,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,3,0.0053,2.875,0.124738201,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Arachnida,Hydrachnidia,NA,Water mite,Predator,1,0.132655465,1.66,0.132655465,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,4,0.0053,2.875,0.285232064,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Perlidae,NA,Golden stonefly ,Predator,2,0.0099,2.879,0.072828364,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,5,0.0074,2.879,0.761318463,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Arachnida,Hydrachnidia,NA,Water mite,Predator,1,0.132655465,1.66,0.132655465,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,4,0.0053,2.875,0.285232064,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Larvae,Diptera,Chironomidae,NA,Midge,Collector-Gatherer,5,0.005097526,2.32,0.213289688,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,5,0.0053,2.875,0.5417696,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Aquatic,Aquatic,Aquatic,Aquatic,Aquatic,Aquatic,Aquatic,15,0.0758,0.74,0.562311205,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,3,0.0053,2.875,0.124738201,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,3,0.0053,2.875,0.124738201,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Arachnida,Hydrachnidia,NA,Water mite,Predator,1,0.132655465,1.66,0.132655465,1.9.2026,MS,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.0074,2.879,0.054437363,1.9.2026,MS,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,5,0.002,3.011,0.254465365,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Plecoptera,Peltoperlidae,NA,Roach-like stonefly,Shredder,3,0.017,2.737,0.343818939,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,NB,BG,
FTC,1DRN2.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,BG,
FTC,1DRN2.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Plecoptera,Peltoperlidae,NA,Roach-like stonefly,Shredder,2,0.017,2.737,0.113336036,1.9.2026,MS,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,4,0.152895591,2.18,3.139682578,1.9.2026,MS,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,2,0.002,3.011,0.01612246,1.9.2026,NB,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Nymph,Ephemeroptera,Baetidae,NA,Small-minnow mayfly,Collector-Gatherer,5,0.0053,2.875,0.5417696,1.9.2026,NB,BG,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Coleoptera,Hydrophilidae,NA,Water scavenger beetle,Predator,4,0.0074,2.879,0.400463035,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,3,Terrestrial,Drift Net,Adult,Hemiptera,Cicadellidae,NA,Leaf hopper,Piercer-Herbivore,2,0.079,2.229,0.370359042,1.9.2026,NB,CF,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,CF,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,CF,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,5,0.002,3.011,0.254465365,1.9.2026,MS,CF,
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Larvae,Diptera,Simuliidae,NA,Black fly,Collector-Filterer,3,0.002,3.011,0.054656535,1.9.2026,MS,CF,Pupa 
FTC,1DRN3.7.2.2025,R1Driftnet3,7.2.2025,1,3,Aquatic,Drift Net,Adult,Plecoptera,Chloroperlidae,NA,Little green stonefly,Predator,6,0.0065,2.724,0.856243648,1.9.2026,MS,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Adult,Hymenoptera,Formicidae,NA,Ant,Unknown,3,0.56,1.56,3.108115752,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Adult,Hymenoptera,Formicidae,NA,Ant,Unknown,3,0.56,1.56,3.108115752,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Adult,Thysanoptera,Thripidae,NA,Thrip,Piercer-Herbivore,2,0.0071,2.537,0.041207043,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Adult,Thysanoptera,Thripidae,NA,Thrip,Piercer-Herbivore,2,0.0071,2.537,0.041207043,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Ephemeroptera,Leptophlebiidae,Neoleptophlebia,Prong-gilled mayfly,Collector-Gatherer,7,0.0047,2.686,0.875046624,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Leuctridae,NA,Rolled-wing stonefly ,Shredder,4,0.0028,2.719,0.121383358,1.9.2026,BG,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Leuctridae,NA,Rolled-wing stonefly ,Shredder,4,0.0028,2.719,0.121383358,1.9.2026,BG,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Adult,Diptera,NA,NA,Mosquito,Unknown,3,0.006,3.05,0.171147704,1.9.2026,BG,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Terrestrial,Drift Net,Nymph,Hemiptera,Aphididae ,NA,Aphid ,Unknown,2,0.005,3.33,0.050280535,1.9.2026,CF,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Nemouridae,NA,Little brown stonefly,Shredder,4,0.0056,2.762,0.257678227,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Nymph,Plecoptera,Nemouridae,NA,Little brown stonefly,Shredder,3,0.0056,2.762,0.116411781,1.9.2026,NB,CF,
FTC,1DRN2.7.2.2025,R1Driftnet2,7.2.2025,1,2,Aquatic,Drift Net,Adult,Diptera,Ceratopogonidae,NA,Biting midge ,Predator,5,0.1,1.57,1.251361839,1.9.2026,BG,CF,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Nymph,Plecoptera,Perlidae,NA,Golden Stonefly,Predator,21,0.0099,2.879,63.43143612,1.12.2026,BG,MS,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Nymph,Plecoptera,Perlidae,NA,Golden stonefly,Predator,17,0.0099,2.879,34.52213442,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Nymph,Plecoptera,Perlidae,NA,Golden stonefly,Predator,15,0.0099,2.879,24.07697542,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Nymph,Plecoptera,Perlidae,NA,Golden stonefly,Predator,18,0.0099,2.879,40.69721934,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,3,0.0074,2.879,0.174929805,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Larvae,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Collector-Gatherer,4,0.0074,2.879,0.400463035,1.12.2026,NB,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,1.12.2026,MS,BG,
FTC,1SUR2.7/8/2025,R1SurberT2,7.8.2025,1,2,Aquatic,Surber,Adult,Coleoptera,Elmidae,Cleptelmis,Riffle beetle,Scraper,2,0.152895591,2.18,0.692851805,1.12.2026,MS,BG,
